Quantization Type,Prompt Index,Memory Usage (MB),Time (s),Power Usage (Watts),Energy Consumption (J),Image Names
NF4,1,10432.0,21.49,353.18,7489.98,"test-NF4-prompt1-run1.png, test-NF4-prompt1-run2.png, test-NF4-prompt1-run3.png, test-NF4-prompt1-run4.png, test-NF4-prompt1-run5.png, test-NF4-prompt1-run6.png, test-NF4-prompt1-run7.png, test-NF4-prompt1-run8.png, test-NF4-prompt1-run9.png, test-NF4-prompt1-run10.png"
NF4,2,10432.0,21.34,357.12,7521.22,"test-NF4-prompt2-run1.png, test-NF4-prompt2-run2.png, test-NF4-prompt2-run3.png, test-NF4-prompt2-run4.png, test-NF4-prompt2-run5.png, test-NF4-prompt2-run6.png, test-NF4-prompt2-run7.png, test-NF4-prompt2-run8.png, test-NF4-prompt2-run9.png, test-NF4-prompt2-run10.png"
NF4,3,10432.0,21.39,356.42,7523.21,"test-NF4-prompt3-run1.png, test-NF4-prompt3-run2.png, test-NF4-prompt3-run3.png, test-NF4-prompt3-run4.png, test-NF4-prompt3-run5.png, test-NF4-prompt3-run6.png, test-NF4-prompt3-run7.png, test-NF4-prompt3-run8.png, test-NF4-prompt3-run9.png, test-NF4-prompt3-run10.png"
NF4,4,10432.0,21.32,357.33,7522.58,"test-NF4-prompt4-run1.png, test-NF4-prompt4-run2.png, test-NF4-prompt4-run3.png, test-NF4-prompt4-run4.png, test-NF4-prompt4-run5.png, test-NF4-prompt4-run6.png, test-NF4-prompt4-run7.png, test-NF4-prompt4-run8.png, test-NF4-prompt4-run9.png, test-NF4-prompt4-run10.png"
NF4,5,10432.0,21.32,357.04,7518.6,"test-NF4-prompt5-run1.png, test-NF4-prompt5-run2.png, test-NF4-prompt5-run3.png, test-NF4-prompt5-run4.png, test-NF4-prompt5-run5.png, test-NF4-prompt5-run6.png, test-NF4-prompt5-run7.png, test-NF4-prompt5-run8.png, test-NF4-prompt5-run9.png, test-NF4-prompt5-run10.png"
NF4,6,10432.0,21.35,356.62,7521.76,"test-NF4-prompt6-run1.png, test-NF4-prompt6-run2.png, test-NF4-prompt6-run3.png, test-NF4-prompt6-run4.png, test-NF4-prompt6-run5.png, test-NF4-prompt6-run6.png, test-NF4-prompt6-run7.png, test-NF4-prompt6-run8.png, test-NF4-prompt6-run9.png, test-NF4-prompt6-run10.png"
NF4,7,10432.0,21.35,356.31,7509.58,"test-NF4-prompt7-run1.png, test-NF4-prompt7-run2.png, test-NF4-prompt7-run3.png, test-NF4-prompt7-run4.png, test-NF4-prompt7-run5.png, test-NF4-prompt7-run6.png, test-NF4-prompt7-run7.png, test-NF4-prompt7-run8.png, test-NF4-prompt7-run9.png, test-NF4-prompt7-run10.png"
NF4,8,10432.0,21.35,356.55,7507.84,"test-NF4-prompt8-run1.png, test-NF4-prompt8-run2.png, test-NF4-prompt8-run3.png, test-NF4-prompt8-run4.png, test-NF4-prompt8-run5.png, test-NF4-prompt8-run6.png, test-NF4-prompt8-run7.png, test-NF4-prompt8-run8.png, test-NF4-prompt8-run9.png, test-NF4-prompt8-run10.png"
FP4,1,10432.0,21.33,354.18,7456.78,"test-FP4-prompt1-run1.png, test-FP4-prompt1-run2.png, test-FP4-prompt1-run3.png, test-FP4-prompt1-run4.png, test-FP4-prompt1-run5.png, test-FP4-prompt1-run6.png, test-FP4-prompt1-run7.png, test-FP4-prompt1-run8.png, test-FP4-prompt1-run9.png, test-FP4-prompt1-run10.png"
FP4,2,10432.0,21.29,354.83,7463.09,"test-FP4-prompt2-run1.png, test-FP4-prompt2-run2.png, test-FP4-prompt2-run3.png, test-FP4-prompt2-run4.png, test-FP4-prompt2-run5.png, test-FP4-prompt2-run6.png, test-FP4-prompt2-run7.png, test-FP4-prompt2-run8.png, test-FP4-prompt2-run9.png, test-FP4-prompt2-run10.png"
FP4,3,10432.0,21.35,354.63,7471.98,"test-FP4-prompt3-run1.png, test-FP4-prompt3-run2.png, test-FP4-prompt3-run3.png, test-FP4-prompt3-run4.png, test-FP4-prompt3-run5.png, test-FP4-prompt3-run6.png, test-FP4-prompt3-run7.png, test-FP4-prompt3-run8.png, test-FP4-prompt3-run9.png, test-FP4-prompt3-run10.png"
FP4,4,10432.0,21.26,356.33,7481.78,"test-FP4-prompt4-run1.png, test-FP4-prompt4-run2.png, test-FP4-prompt4-run3.png, test-FP4-prompt4-run4.png, test-FP4-prompt4-run5.png, test-FP4-prompt4-run6.png, test-FP4-prompt4-run7.png, test-FP4-prompt4-run8.png, test-FP4-prompt4-run9.png, test-FP4-prompt4-run10.png"
FP4,5,10432.0,21.25,355.76,7465.18,"test-FP4-prompt5-run1.png, test-FP4-prompt5-run2.png, test-FP4-prompt5-run3.png, test-FP4-prompt5-run4.png, test-FP4-prompt5-run5.png, test-FP4-prompt5-run6.png, test-FP4-prompt5-run7.png, test-FP4-prompt5-run8.png, test-FP4-prompt5-run9.png, test-FP4-prompt5-run10.png"
